"","x"
"2400",103
"2401",72
"2402",209
"2403",25
"2404",17
"2405",96
"2406",207
"2407",62
"2408",10
"2409",7
"2410",79
"2411",22
"2412",21
"2413",2
"2414",7
"2415",3
"2416",17
"2417",25
"2418",17
"2419",17
"2420",15
"2421",32
"2422",51
"2423",3
"2424",45
"2425",20
"2426",25
"2427",19
"2428",21
"2429",28
"2430",128
"2431",16
"2432",51
"2433",22
"2434",19
"2435",42
"2436",26
"2437",7
"2438",17
"2439",60
"2440",47
"2441",20
"2442",26
"2443",121
"2444",91
"2445",16
"2446",54
"2447",47
"2448",34
"2449",63
"2450",39
"2451",33
"2452",32
"2453",69
"2454",16
"2455",227
"2456",9
"2457",28
"2458",36
"2459",18
"2460",5
"2461",17
"2462",9
"2463",66
"2464",15
"2465",12
"2466",156
"2467",30
"2468",13
"2469",23
"2470",32
"2471",7
"2472",56
"2473",32
"2474",104
"2475",240
"2476",14
"2477",3
"2478",12
"2479",30
"2480",29
"2481",16
"2482",177
"2483",53
"2484",16
"2485",21
"2486",34
"2487",41
"2488",94
"2489",16
"2490",46
"2491",64
"2492",71
"2493",45
